Time,Open,High,Low,Close,Adj Close,Volume
9/17/2014,0.005123,0.005803,0.005123,0.005399,0.005399,1281960
9/18/2014,0.005398,0.005521,0.005091,0.005135,0.005135,491147
9/19/2014,0.005134,0.005167,0.004873,0.004942,0.004942,407109
9/20/2014,0.004942,0.004954,0.004736,0.004772,0.004772,322621
9/21/2014,0.004768,0.004791,0.00454,0.00457,0.00457,309571
9/22/2014,0.004561,0.00467,0.004532,0.004657,0.004657,267342
9/23/2014,0.004655,0.004656,0.004547,0.004613,0.004613,323106
9/24/2014,0.00461,0.004668,0.004511,0.004668,0.004668,349329
9/25/2014,0.00467,0.00485,0.004642,0.004722,0.004722,745348
9/26/2014,0.004722,0.004734,0.004558,0.004616,0.004616,497323
9/27/2014,0.004607,0.004717,0.004575,0.004705,0.004705,221573
9/28/2014,0.004706,0.005345,0.00465,0.005282,0.005282,464102
9/29/2014,0.005279,0.005442,0.004658,0.004705,0.004705,122073
9/30/2014,0.004705,0.004707,0.004635,0.004644,0.004644,109352
10/1/2014,0.004645,0.004772,0.004644,0.004752,0.004752,64998
10/2/2014,0.004755,0.004876,0.004753,0.004874,0.004874,209158
10/3/2014,0.004876,0.00505,0.004875,0.005023,0.005023,264083
10/4/2014,0.005024,0.005204,0.004931,0.004941,0.004941,168516
10/5/2014,0.004935,0.005012,0.004746,0.004789,0.004789,181316
10/6/2014,0.004777,0.004787,0.004707,0.00473,0.00473,218684
10/7/2014,0.004731,0.004806,0.004727,0.004765,0.004765,136439
10/8/2014,0.004769,0.004806,0.004699,0.004787,0.004787,398026
10/9/2014,0.004787,0.004879,0.00477,0.004824,0.004824,214591
10/10/2014,0.004824,0.004876,0.004814,0.004871,0.004871,140436
10/11/2014,0.004873,0.004881,0.004748,0.004753,0.004753,263175
10/12/2014,0.004754,0.004867,0.004744,0.004858,0.004858,272667
10/13/2014,0.004853,0.004867,0.00472,0.004784,0.004784,463679
10/14/2014,0.004794,0.00493,0.00479,0.004872,0.004872,231490
10/15/2014,0.004872,0.004881,0.004791,0.004827,0.004827,235627
10/16/2014,0.004825,0.004858,0.004776,0.004855,0.004855,119623
10/17/2014,0.004855,0.00491,0.004824,0.004904,0.004904,245692
10/18/2014,0.004904,0.004985,0.004892,0.004965,0.004965,69145
10/19/2014,0.004964,0.004989,0.004923,0.004949,0.004949,55747
10/20/2014,0.004945,0.005083,0.004921,0.005073,0.005073,295888
10/21/2014,0.005072,0.005216,0.005069,0.005193,0.005193,146796
10/22/2014,0.00519,0.00522,0.005176,0.005187,0.005187,107561
10/23/2014,0.005185,0.005243,0.005134,0.005142,0.005142,378216
10/24/2014,0.005143,0.005154,0.005071,0.005082,0.005082,282070
10/25/2014,0.005083,0.005087,0.004712,0.004719,0.004719,272566
10/26/2014,0.00472,0.004721,0.004525,0.004548,0.004548,440679
10/27/2014,0.004546,0.00492,0.004534,0.004891,0.004891,299518
10/28/2014,0.00489,0.004894,0.004616,0.004845,0.004845,272894
10/29/2014,0.00484,0.004848,0.004746,0.004776,0.004776,346606
10/30/2014,0.004774,0.00491,0.004769,0.00489,0.00489,220063
10/31/2014,0.004887,0.004904,0.004849,0.004867,0.004867,151046
11/1/2014,0.004865,0.004879,0.004636,0.004671,0.004671,190204
11/2/2014,0.004674,0.004723,0.004638,0.004664,0.004664,119913
11/3/2014,0.004658,0.004811,0.004652,0.00481,0.00481,212517
11/4/2014,0.004809,0.004859,0.00478,0.004805,0.004805,276134
11/5/2014,0.004806,0.004872,0.004806,0.004861,0.004861,309820
11/6/2014,0.004861,0.004898,0.004834,0.004877,0.004877,416386
11/7/2014,0.004878,0.004895,0.004854,0.004877,0.004877,434075
11/8/2014,0.004877,0.004914,0.004877,0.004907,0.004907,143181
11/9/2014,0.004904,0.004941,0.00488,0.004926,0.004926,240824
11/10/2014,0.00492,0.004956,0.004886,0.004901,0.004901,545390
11/11/2014,0.004896,0.004906,0.004873,0.004899,0.004899,781614
11/12/2014,0.004897,0.005209,0.004897,0.005097,0.005097,447173
11/13/2014,0.005128,0.005297,0.00491,0.005035,0.005035,486595
11/14/2014,0.005022,0.005197,0.004896,0.005197,0.005197,300910
11/15/2014,0.005206,0.005229,0.005016,0.005052,0.005052,116803
11/16/2014,0.005039,0.005205,0.005039,0.005181,0.005181,78345
11/17/2014,0.005181,0.005378,0.005181,0.00534,0.00534,431359
11/18/2014,0.005337,0.005449,0.005337,0.005432,0.005432,454544
11/19/2014,0.005424,0.005696,0.005424,0.005696,0.005696,434916
11/20/2014,0.005693,0.006096,0.005692,0.006058,0.006058,932564
11/21/2014,0.006072,0.006603,0.006037,0.006589,0.006589,720035
11/22/2014,0.006591,0.00776,0.006591,0.007663,0.007663,1123560
11/23/2014,0.007669,0.008773,0.007669,0.008599,0.008599,1288050
11/24/2014,0.008595,0.008791,0.008362,0.008562,0.008562,836154
11/25/2014,0.008561,0.009841,0.008561,0.00974,0.00974,2617990
11/26/2014,0.009742,0.011014,0.009695,0.011004,0.011004,2382860
11/27/2014,0.011004,0.014205,0.011004,0.014205,0.014205,5355350
11/28/2014,0.014201,0.015297,0.013757,0.015165,0.015165,2815520
11/29/2014,0.01516,0.01516,0.013982,0.013982,0.013982,1878500
11/30/2014,0.013977,0.013977,0.011182,0.011211,0.011211,2857340
12/1/2014,0.011204,0.012572,0.008105,0.012559,0.012559,3453750
12/2/2014,0.012586,0.013307,0.012568,0.013158,0.013158,2206040
12/3/2014,0.013164,0.013185,0.012918,0.01313,0.01313,1063000
12/4/2014,0.013137,0.013348,0.013137,0.013343,0.013343,2363160
12/5/2014,0.013336,0.013798,0.013311,0.013785,0.013785,1281290
12/6/2014,0.013771,0.014412,0.013726,0.014406,0.014406,1402450
12/7/2014,0.014406,0.014794,0.014388,0.014794,0.014794,935386
12/8/2014,0.014793,0.015188,0.01319,0.013421,0.013421,2568380
12/9/2014,0.013418,0.015071,0.013268,0.015068,0.015068,1621600
12/10/2014,0.015071,0.015933,0.015015,0.015907,0.015907,1116220
12/11/2014,0.015885,0.016374,0.015805,0.016374,0.016374,1620910
12/12/2014,0.016374,0.016374,0.016374,0.016374,0.016374,1620910
12/13/2014,0.016374,0.017182,0.016374,0.016992,0.016992,1210950
12/14/2014,0.016991,0.017218,0.016977,0.017127,0.017127,431814
12/15/2014,0.017115,0.018242,0.017096,0.018242,0.018242,2633740
12/16/2014,0.018246,0.021681,0.018207,0.021539,0.021539,6249780
12/17/2014,0.021553,0.026065,0.021512,0.026065,0.026065,5981140
12/18/2014,0.026026,0.028014,0.025511,0.02794,0.02794,4016710
12/19/2014,0.027975,0.028034,0.023338,0.023338,0.023338,6254590
12/20/2014,0.023352,0.024207,0.022644,0.024207,0.024207,3224770
12/21/2014,0.024225,0.025171,0.024183,0.024921,0.024921,1523180
12/22/2014,0.02487,0.025718,0.024868,0.025562,0.025562,2150370
12/23/2014,0.025556,0.025611,0.023878,0.023878,0.023878,2778770
12/24/2014,0.023838,0.023852,0.02316,0.023382,0.023382,1428390
12/25/2014,0.023388,0.024138,0.023387,0.024138,0.024138,1234800
12/26/2014,0.024146,0.025394,0.024146,0.025308,0.025308,2011780
12/27/2014,0.025299,0.025335,0.024067,0.024074,0.024074,837992
12/28/2014,0.024078,0.02418,0.023611,0.023764,0.023764,1005650
12/29/2014,0.023778,0.024294,0.023774,0.024231,0.024231,1145800
12/30/2014,0.024229,0.024278,0.02404,0.0242,0.0242,795505
12/31/2014,0.024194,0.024438,0.024152,0.024438,0.024438,640940
1/1/2015,0.024455,0.024455,0.024205,0.02439,0.02439,399022
1/2/2015,0.024377,0.024423,0.024309,0.024318,0.024318,459956
1/3/2015,0.024297,0.024317,0.022106,0.022106,0.022106,2171040
1/4/2015,0.0221,0.022142,0.018828,0.018928,0.018928,3801010
1/5/2015,0.018943,0.020316,0.01889,0.020316,0.020316,3051930
1/6/2015,0.020325,0.020745,0.020282,0.020732,0.020732,1752160
1/7/2015,0.020727,0.020899,0.020492,0.020843,0.020843,787462
1/8/2015,0.020843,0.020917,0.020668,0.020676,0.020676,823446
1/9/2015,0.02065,0.020665,0.020512,0.020576,0.020576,1092300
1/10/2015,0.020623,0.020623,0.01923,0.019233,0.019233,1550330
1/11/2015,0.019244,0.019288,0.018755,0.018765,0.018765,558120
1/12/2015,0.018782,0.018853,0.018434,0.018434,0.018434,560642
1/13/2015,0.018428,0.020769,0.015599,0.015648,0.015648,3113440
1/14/2015,0.015611,0.022335,0.014113,0.014233,0.014233,1886420
1/15/2015,0.014204,0.016536,0.014204,0.016444,0.016444,2285810
1/16/2015,0.016449,0.017094,0.016361,0.016403,0.016403,1651550
1/17/2015,0.016393,0.016401,0.015361,0.015361,0.015361,737736
1/18/2015,0.015386,0.015806,0.015092,0.015622,0.015622,1170730
1/19/2015,0.015657,0.016017,0.015651,0.015991,0.015991,1093540
